vin,county,city,postal_code,model_year,make,model,electric_vehicle_type,electric_range,electric_utility,2020_census_tract,longitude,latitude
2T3YL4DV4C,San Juan,Friday Harbor,98250,2012,TOYOTA,RAV4,BEV,103,"BONNEVILLE POWER ADMINISTRATION, ORCAS POWER & LIGHT COOP",53055960302,-123.01648,48.53448
JTJHKCFZ1S,Skagit,Mount Vernon,98273,2025,LEXUS,NX,PHEV,37,PUGET SOUND ENERGY INC,53057952304,-122.33891,48.41644
1G1RC6E49F,King,Kent,98032,2015,CHEVROLET,VOLT,PHEV,38,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033029804,-122.23741,47.3807
YV4EH3HK4R,Island,Greenbank,98253,2024,VOLVO,XC40,BEV,0,PUGET SOUND ENERGY INC,53029971301,-122.56817,48.08827
KL8CL6S06F,Cowlitz,Longview,98632,2015,CHEVROLET,SPARK,BEV,82,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF COWLITZ COUNTY",53015000702,-122.95058,46.14681
WB533CF04R,King,Mercer Island,98040,2024,BMW,IX,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024302,-122.21238,47.57816
YV4ED3GKXP,King,Renton,98058,2023,VOLVO,C40,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033031906,-122.08747,47.4466
KM8KM4AE9P,Clark,Vancouver,98662,2023,HYUNDAI,IONIQ 5,BEV,0,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011041203,-122.57722,45.64251
WP0BA2Y10R,King,Bellevue,98005,2024,PORSCHE,TAYCAN,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033022805,-122.1621,47.64441
WP0AC2Y10M,Clark,Camas,98607,2021,PORSCHE,TAYCAN,BEV,192,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011040609,-122.40199,45.58694
KMHM54AC7S,King,Seattle,98121,2025,HYUNDAI,IONIQ 6,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008004,-122.34468,47.61578
W1NWM0AB6S,King,Medina,98039,2025,MERCEDES-BENZ,G-CLASS,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024200,-122.23892,47.61613
WA1L2BFZ3N,Clark,Camas,98607,2022,AUDI,Q4,BEV,0,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011040605,-122.40199,45.58694
WAUDJBFW5R,King,Mercer Island,98040,2024,AUDI,E-TRON GT,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024302,-122.21238,47.57816
2C4RC1N77S,King,Seattle,98109,2025,CHRYSLER,PACIFICA,PHEV,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800,-122.35022,47.63824
3FMTK3R74M,King,Seattle,98121,2021,FORD,MUSTANG MACH-E,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302,-122.34468,47.61578
1FMCU0E18S,Thurston,Lacey,98503,2025,FORD,ESCAPE,PHEV,37,PUGET SOUND ENERGY INC,53067011628,-122.82324,47.04437
KMHC75LD0J,King,Seattle,98105,2018,HYUNDAI,IONIQ,PHEV,29,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005201,-122.31307,47.66127
2C4RC1N7XK,Whatcom,Bellingham,98225,2019,CHRYSLER,PACIFICA,PHEV,32,"PUGET SOUND ENERGY INC, PUD NO 1 OF WHATCOM COUNTY",53073000402,-122.47107,48.75245
WBY2Z2C56G,King,Woodinville,98072,2016,BMW,I8,PHEV,14,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032320,-122.15545,47.75448
3FMTK2R73N,King,Seattle,98119,2022,FORD,MUSTANG MACH-E,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800,-122.3684,47.64586
5XYAFFS50S,Pierce,Tacoma,98444,2025,KIA,EV9,BEV,0,"BONNEVILLE POWER ADMINISTRATION, CITY OF TACOMA - (WA), PENINSULA LIGHT COMPANY",53053063502,-122.43828,47.15258
5YJXCDE48J,King,Sammamish,98074,2018,TESLA,MODEL X,BEV,238,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032318,-122.02054,47.60326
WP1BE2AY3N,King,Medina,98039,2022,PORSCHE,CAYENNE,PHEV,16,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024200,-122.23892,47.61613
KNAGV4LD2L,King,Sammamish,98075,2020,KIA,OPTIMA,PHEV,28,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032215,-122.03539,47.61344
WBY8P2C07L,Pierce,Gig Harbor,98329,2020,BMW,I3,BEV,153,"BONNEVILLE POWER ADMINISTRATION, CITY OF TACOMA - (WA), PENINSULA LIGHT COMPANY",53053072503,-122.6658,47.38336
1GYKPPRK0R,King,Sammamish,98075,2024,CADILLAC,LYRIQ,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032215,-122.03539,47.61344
3GN7DLRR8S,King,Seattle,98102,2025,CHEVROLET,EQUINOX EV,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100,-122.32427,47.63433
3FMTK1SS8M,King,Seattle,98144,2021,FORD,MUSTANG MACH-E,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009400,-122.30866,47.57874
3FMTK1SU8R,Thurston,Olympia,98512,2024,FORD,MUSTANG MACH-E,BEV,0,PUGET SOUND ENERGY INC,53067011822,-122.9131,47.01359
1FADP3R48H,King,Sammamish,98075,2017,FORD,FOCUS,BEV,100,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032224,-122.03539,47.61344
YV4H60RC1S,King,Redmond,98052,2025,VOLVO,XC60,PHEV,35,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033022902,-122.13158,47.67858
WP0AB2Y13N,King,Seattle,98126,2022,PORSCHE,TAYCAN,BEV,0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601,-122.36893,47.54701
4JGDA6DB2H,Cowlitz,Longview,98632,2017,MERCEDES-BENZ,GLE-CLASS,PHEV,10,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF COWLITZ COUNTY",53015000602,-122.95058,46.14681
YV4BR00L9N,Whatcom,Bellingham,98229,2022,VOLVO,XC90,PHEV,18,"PUGET SOUND ENERGY INC, PUD NO 1 OF WHATCOM COUNTY",53073001202,-122.45486,48.7449
5YJSA1S18F,King,Seattle,98119,2015,TESLA,MODEL S,BEV,208,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902,-122.3684,47.64586
WP0AE2A75K,Snohomish,Lake Stevens,98258,2019,PORSCHE,PANAMERA,PHEV,14,PUGET SOUND ENERGY INC,53061052605,-122.06402,48.01497
WA1LAAGE3P,King,Sammamish,98075,2023,AUDI,E-TRON,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032207,-122.03539,47.61344
3FMTK2R72N,King,Covington,98042,2022,FORD,MUSTANG MACH-E,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033031705,-122.09124,47.33778
YV4BR0DZXN,King,Auburn,98092,2022,VOLVO,XC60,PHEV,18,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033031000,-122.1821,47.3199
WAUMPBFF3G,King,Medina,98039,2016,AUDI,A3,PHEV,16,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024200,-122.23892,47.61613
ZASPATCWXR,King,Seattle,98109,2024,ALFA ROMEO,TONALE,PHEV,33,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006000,-122.35022,47.63824
1FMCU0LZ3M,King,Federal Way,98023,2021,FORD,ESCAPE,PHEV,38,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033030305,-122.36321,47.3084
WP0BA2Y12N,King,Sammamish,98074,2022,PORSCHE,TAYCAN,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032318,-122.02054,47.60326
KM8JFDA29N,Clark,Vancouver,98685,2022,HYUNDAI,TUCSON,PHEV,33,"BONNEVILLE POWER ADMINISTRATION, PUD NO 1 OF CLARK COUNTY - (WA)",53011040907,-122.70303,45.70954
W1N9M0KB9R,King,Sammamish,98075,2024,MERCEDES-BENZ,EQB-CLASS,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032224,-122.03539,47.61344
KNDC34LA4N,King,Bellevue,98006,2022,KIA,EV6,BEV,0,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033024901,-122.12096,47.55584
